Designator,Mid X,Mid Y,Rotation,Layer
R29,217.725,-80.5,0.0,top
R3,238.05,-124.2,90.0,top
R30,213.6,-80.76,180.0,top
R31,189.6,-66.8,90.0,top
R32,189.075,-71.24,0.0,top
R33,224.475,-81.3,0.0,top
R34,221.1,-80.5,0.0,top
R35,221.1,-78.8,180.0,top
R36,213.25,-98.25,90.0,bottom
R37,213.75,-111.5,270.0,bottom
R38,225.1,-84.8,90.0,top
R39,226.7,-84.8,90.0,top
R40,228.3,-84.8,90.0,top
R41,201.0,-123.675,90.0,top
R42,198.76,-123.655,90.0,top
R45,211.9,-84.9,270.0,top
R47,190.95,-104.425,180.0,top
R48,236.415,-131.405,90.0,top
R49,198.3,-109.8,180.0,top
R5,213.605,-103.79,180.0,bottom
R50,214.9,-84.9,270.0,top
R51,187.8,-98.4,180.0,top
R52,189.4,-100.2,180.0,top
R53,187.9,-96.775,0.0,top
R54,187.6,-106.0,180.0,top
R55,187.6,-104.4,0.0,top
R56,186.4,-111.1,270.0,top
R57,190.95,-105.925,180.0,top
R58,225.5,-121.875,90.0,top
R6,198.275,-108.3,180.0,top
R60,192.0,-76.525,0.0,top
R61,192.0,-74.275,0.0,top
R62,229.0,-73.2,270.0,top
R63,231.51,-73.2,270.0,top
R64,234.02,-73.2,270.0,top
R65,236.53,-73.2,270.0,top
R66,239.04,-73.2,270.0,top
R7,236.55,-124.2,90.0,top
R9,211.6,-115.9,90.0,bottom
S1,188.7,-135.9,180.0,top
S2,189.75,-84.75,180.0,top
U1,204.625,-115.715,90.0,top
U2,218.0,-85.5,90.0,top
U3,191.75,-126.0,180.0,top
U4,216.1,-105.2,0.0,top
Y2,213.5,-90.25,180.0,top
Y3,201.95,-90.65,0.0,top
